Description,UPC,Promo_Price,Retail_Price,Manufacturer,Category,Count,Multiplier,Retailer,Predicted_List_Price
La Roche-Posay Lipikar Eczema Soothing Relief Cream with Shea Butter,3337880000000.0,,14.99,LA ROCHE-POS,SKIN CARE - HAND & BODY,6.76,101.3324,Walgreens,8.93694
La Roche-Posay Lipikar Eczema Soothing Relief Cream with Shea Butter,3337880000000.0,,14.99,LA ROCHE-POS,SKIN CARE - HAND & BODY,6.76,101.3324,Walgreens,8.93694
"La Roche-Posay Toleriane Purifying Foaming Face Cleanser for Normal, Oily and Sensitive Skin",3337880000000.0,,17.99,LA ROCHE-POS,SKIN CARE - FACIAL,13.52,243.2248,Walgreens,9.91617645424837
"Vichy Mineral 89 Hyaluronic Acid Face Serum, Moisturizer Hydrates and Strengthens Skin",3337880000000.0,,29.5,VICHY LABS,SKIN CARE - FACIAL,1.01,29.795,Walgreens,16.856575000000007
"La Roche-Posay Toleriane Dermallegro Night Cream for Face, Allergy Tested Soothing Moisturizer",3337880000000.0,,31.99,LA ROCHE-POS,SKIN CARE - FACIAL,1.35,43.1865,Walgreens,17.93846666666665
"La Roche-Posay Lipikar Triple Repair Lotion, Body and Face Moisturizer",3337870000000.0,,19.99,LA ROCHE-POS,SKIN CARE - HAND & BODY,13.52,270.2648,Walgreens,12.005424999999997
"La Roche-Posay Lipikar Triple Repair Lotion, Body and Face Moisturizer",3337870000000.0,,19.99,LA ROCHE-POS,SKIN CARE - HAND & BODY,13.52,270.2648,Walgreens,12.005424999999997
La Roche-Posay Dark Spot Corrector Face Serum,3337870000000.0,,44.99,LA ROCHE-POS,COSMETICS-FACIAL,1.0,44.99,Walgreens,26.90586923076919
La Roche-Posay Effaclar Mat Face Moisturizer for Oily Skin,3337870000000.0,,35.99,LA ROCHE-POS,SKIN CARE - FACIAL,1.35,48.5865,Walgreens,20.47034999999999
La Roche-Posay Micellar Water Ultra Face Cleanser and Makeup Remover,3337870000000.0,,18.99,LA ROCHE-POS,SKIN CARE - FACIAL,13.52,256.7448,Walgreens,10.320149572649568
"Maty's All Natural Acid & Indigestion Relief Gummies, Drug Free, 40 CT",899874000000.0,,18.49,MATY'S PROD,DIGESTIVE - UPPER GI,40.0,739.6,CVS,10.032388461538462
Maty's Organic Children's Day-Night Cough Syrup Twin Pack,899874000000.0,14.99,30.99,MATY'S PROD,UPPER RESPIRATORY - COLD/ALLERGY/SINUS LIQUIDS,6.0,185.94,Walgreens,16.0279
"Maty's Organic Mucus Cough Syrup, Made with Organic Honey, Thyme & Ginger",899874000000.0,,12.99,MATY'S PROD,UPPER RESPIRATORY - COLD/ALLERGY/SINUS LIQUIDS,6.0,77.94,Walgreens,7.504690079365074
"Maty's Organic Cough Syrup, Made with Organic Honey, Lemon & Cinnamon",899874000000.0,,12.99,MATY'S PROD,UPPER RESPIRATORY - COLD/ALLERGY/SINUS LIQUIDS,6.0,77.94,Walgreens,7.504690079365074
Maty's All Natural Vapor Rub - Petroleum Free Unscented,899874000000.0,,7.79,MATY'S PROD,UPPER RESPIRATORY - EXTERNAL,1.5,11.685,Walgreens,4.390334325396827
Luvena Therapeutic Feminine Wash,899655000000.0,,9.99,LACLEDE LABS,FEMININE NEEDS - WOMEN'S CARE,6.76,67.5324,Walgreens,6.31556
Luvena Vaginal Moisturizer and Lubricant,899655000000.0,,25.99,LACLEDE LABS,SEXUAL WELLNESS,6.0,155.94,Walgreens,14.025699999999999
Luvena Vaginal Moisturizer and Lubricant,899655000000.0,,25.99,LACLEDE LABS,SEXUAL WELLNESS,6.0,155.94,Walgreens,14.025699999999999
Luvena Vaginal Moisturizer and Lubricant,899655000000.0,,25.99,LACLEDE LABS,SEXUAL WELLNESS,6.0,155.94,Walgreens,14.025699999999999
Amberen Multi-Symptom Perimenopause Supplements for Women,899234000000.0,,35.99,BIOGIX INC,FEMININE NEEDS - WOMEN'S CARE,60.0,2159.4,Walgreens,21.7659
Amberen Multi-Symptom Menopause Relief,899234000000.0,,39.99,BIOGIX INC,FEMININE NEEDS - WOMEN'S CARE,60.0,2399.4,Walgreens,23.47053888888887
Zarbee's Daily Immune Support Gummies with Real Elderberry Berry,898115000000.0,,23.99,ZARBEES INC,"VITAMINS, MINERALS & SUPPLEMENTS",60.0,1439.4,Walgreens,13.87649785714287
Zarbee's Kids Daily Immune Support Gummies with Elderberry Natural Berry,898115000000.0,,12.49,ZARBEES INC,"VITAMINS, MINERALS & SUPPLEMENTS",21.0,262.29,Walgreens,7.2592458333333285
"Zarbee's Naturals Children's Sleep with Melatonin Chewable Tablets, Grape, 30 CT",898115000000.0,,10.99,ZARBEES INC,SLEEPING REMEDIES,30.0,329.7,CVS,5.725031764705876
"Zarbee's Children's Sleep with Melatonin Chewables - Grape Grape, Fragrance-Free",898115000000.0,,10.99,ZARBEES INC,SLEEPING REMEDIES,30.0,329.7,Walgreens,5.725031764705876
"Zarbee's Children's Sleep with Melatonin Chewables - Grape Grape, Fragrance-Free",898115000000.0,,10.99,ZARBEES INC,SLEEPING REMEDIES,30.0,329.7,Walgreens,5.725031764705876
"Zarbee's Children's Sleep with Melatonin Chewables - Grape Grape, Fragrance-Free",898115000000.0,,10.99,ZARBEES INC,SLEEPING REMEDIES,30.0,329.7,Walgreens,5.725031764705876
Boogie Wipes Unscented Saline Wipes Simply Unscented,897752000000.0,,4.99,NEHEMIAH,BABY DIAPERS,30.0,149.7,Walgreens,2.677289999999998
Boogie Wipes Unscented Saline Wipes Simply Unscented,897752000000.0,,4.99,NEHEMIAH,BABY DIAPERS,30.0,149.7,Walgreens,2.677289999999998
"Boogie Wipes Saline Nose Wipes, 30 CT",897752000000.0,,4.99,NEHEMIAH,BABY DIAPERS,30.0,149.7,CVS,2.677289999999998
Boogie Wipes Fresh Saline Wipes Fresh Scent,897752000000.0,,4.99,NEHEMIAH,BABY DIAPERS,30.0,149.7,Walgreens,2.677289999999998
Boogie Wipes Fresh Saline Wipes Fresh Scent,897752000000.0,,4.99,NEHEMIAH,BABY DIAPERS,30.0,149.7,Walgreens,2.677289999999998
Stander Safety Bed Rail,897564000000.0,,129.99,STANDER,HOME HEALTH CARE,1.0,129.99,CVS,43.48313614718613
Stander EZ Adjust Bed Rail,897564000000.0,,164.99,STANDER,HOME HEALTH CARE,1.0,164.99,CVS,44.050302813852795
Stander Bed Cane with Organizer Pouch,897564000000.0,,119.99,STANDER,HOME HEALTH CARE,1.0,119.99,CVS,43.423136147186135
Extenze Original Formula Male Sexual Enhancement Tablets,897343000000.0,,29.99,GPM - BIOTAB,SEXUAL WELLNESS,15.0,449.85,Walgreens,16.113991666666667
"Extenze Plus Trial Size Male Enhancement Pills, 5CT",897343000000.0,,5.99,GPM - BIOTAB,SEXUAL WELLNESS,5.0,29.95,CVS,3.397800980392156
Extenze The Original Male Enhancement Tablets,897343000000.0,,43.99,GPM - BIOTAB,SEXUAL WELLNESS,30.0,1319.7,Walgreens,26.804999999999996
Zarbee's Baby Soothing Cough Syrup Natural Peach & Honey,897234000000.0,,10.99,ZARBEES INC,UPPER RESPIRATORY - COLD/ALLERGY/SINUS LIQUIDS,2.0,21.98,Walgreens,6.190722564935063
Zarbee's Baby Soothing Cough Syrup Natural Peach & Honey,897234000000.0,,10.99,ZARBEES INC,UPPER RESPIRATORY - COLD/ALLERGY/SINUS LIQUIDS,2.0,21.98,Walgreens,6.190722564935063
Zarbee's Baby Cough + Immune Syrup with Agave Natural Grape,897234000000.0,,11.99,ZARBEES INC,UPPER RESPIRATORY - COLD/ALLERGY/SINUS LIQUIDS,2.0,23.98,Walgreens,6.681583333333338
Zarbee's Baby Cough + Immune Syrup with Agave Natural Grape,897234000000.0,,11.99,ZARBEES INC,UPPER RESPIRATORY - COLD/ALLERGY/SINUS LIQUIDS,2.0,23.98,Walgreens,6.681583333333338
Zarbee's Baby Cough + Immune Syrup with Agave Natural Grape,897234000000.0,,11.99,ZARBEES INC,UPPER RESPIRATORY - COLD/ALLERGY/SINUS LIQUIDS,2.0,23.98,Walgreens,6.681583333333338
"Zarbee's Naturals Baby Cough Syrup + Immune with Honey, Natural Cherry Flavor, 2 Fl Oz",897234000000.0,,10.29,ZARBEES INC,UPPER RESPIRATORY - COLD/ALLERGY/SINUS LIQUIDS,2.0,20.58,CVS,5.984805714285712
"Zarbee's Baby Cough Syrup + Immune with Honey, Natural Cherry Natural Cherry",897234000000.0,,14.49,ZARBEES INC,UPPER RESPIRATORY - COLD/ALLERGY/SINUS LIQUIDS,2.0,28.98,Walgreens,7.063450000000002
"Zarbee's Baby Cough Syrup + Immune with Honey, Natural Cherry Natural Cherry",897234000000.0,,14.49,ZARBEES INC,UPPER RESPIRATORY - COLD/ALLERGY/SINUS LIQUIDS,2.0,28.98,Walgreens,7.063450000000002
"Zarbee's baby Cough Syrup + Immune Support Relief Liquid, Grape, 2 OZ",897234000000.0,,10.29,ZARBEES INC,UPPER RESPIRATORY - COLD/ALLERGY/SINUS LIQUIDS,2.0,20.58,CVS,5.984805714285712
Zarbee's Cough Syrup + Immune with Honey Grape,897234000000.0,,11.99,ZARBEES INC,UPPER RESPIRATORY - COLD/ALLERGY/SINUS LIQUIDS,2.0,23.98,Walgreens,6.681583333333338
"Sambucol Black Elderberry Advanced Immune Capsules, 30 CT",896116000000.0,,19.49,PHARMACARE,UPPER RESPIRATORY - COLD/ALLERGY/SINUS TABLETS,30.0,584.7,CVS,11.10465
