Description,UPC,Promo_Price,Retail_Price,List_Price,Manufacturer,Category,Count,Multiplier,Retailer
No7 Restore & Renew Face & Neck Mulit Action Fragrance Free Day Cream SPF 30 Fragrance Free,5.00017E+12,,34.99,18.14,INVACARE,SKIN CARE - FACIAL,1.69,59.1331,Walgreens
"No7 Lift & Luminate Triple Action Serum Foundation, Honey",5.00017E+12,,17.99,8.5,NAT/BOUNTY,COSMETICS - FACIAL,1,17.99,Walgreens
"Clairol Nice 'n Easy Permanent Hair Color, Darkest Burgundy Violet 3RV",4.06467E+12,,9.29,6.15,COTY,HAIR CARE - COLORING,1,9.29,Walgreens
"Clairol Nice 'n Easy Permanent Hair Color, Darkest Burgundy Violet 3RV",4.06467E+12,,9.29,6.15,COTY,HAIR CARE - COLORING,1,9.29,Walgreens
CoverGirl Exhibitionist Mascara Very Black,3.61423E+12,,13.49,5.97,PHY FORMULA,COSMETICS-EYE,0.3,4.047,Walgreens
La Roche-Posay Anthelios Kids Gentle Lotion Sunscreen SPF 50 for Face and Body Fragrance-Free,3.606E+12,,33,19.79,LA ROCHE-POS,SUN CARE,6.7,221.1,Walgreens
CeraVe Acne Control Cleanser,3.606E+12,,16.99,10.86,LOREAL,SKIN CARE - ACNE,8,135.92,Walgreens
CeraVe Acne Control Gel,3.606E+12,,20.99,12.6,LOREAL,SKIN CARE - ACNE,1.35,28.3365,Walgreens
"CeraVe Renewing SA Cleanser, Fragrance Free",3.606E+12,,18.99,11.53,LOREAL,SKIN CARE - FACIAL,16,303.84,Walgreens
CeraVe Baby Moisturizing Cream with Hyaluronic Acid and Essential Ceramides,3.606E+12,,9.99,6.45,LOREAL,BABY PRODUCTS,5,49.95,Walgreens
CeraVe Gentle Baby Moisturizing Lotion with Hyaluronic Acid and Ceramides,3.606E+12,,9.99,6.45,LOREAL,BABY PRODUCTS,8,79.92,Walgreens
CeraVe Baby Wash and Shampoo for Tear-Free Baby Bath Time,3.606E+12,,9.99,6.45,LOREAL,BABY PRODUCTS,8,79.92,Walgreens
CeraVe Hydrating Cream-to-Foam Face Cleanser,3.606E+12,,18.99,11.53,LOREAL,SKIN CARE - FACIAL,16,303.84,Walgreens
CeraVe Foaming Cleanser Bar for Oily Skin,3.606E+12,,8.99,4.63,LOREAL,SOAP,4.5,40.455,Walgreens
CeraVe Eczema Relief Creamy Body Oil,3.606E+12,,18.99,11,LOREAL,SKIN CARE - HAND & BODY,8,151.92,Walgreens
CeraVe Eczema Relief Creamy Body Oil,3.606E+12,,18.99,11,LOREAL,SKIN CARE - HAND & BODY,8,151.92,Walgreens
CeraVe Healing Ointment,3.606E+12,,8.99,5.5,LOREAL,SKIN CARE - HAND & BODY,1.89,16.9911,Walgreens
CeraVe Healing Ointment,3.606E+12,,8.99,5.5,LOREAL,SKIN CARE - HAND & BODY,1.89,16.9911,Walgreens
CeraVe Healing Ointment,3.606E+12,,8.99,5.5,LOREAL,SKIN CARE - HAND & BODY,1.89,16.9911,Walgreens
CeraVe Itch Relief Moisturizing Lotion with Pramoxine Hydrochloride for Dry Skin,3.606E+12,,28.99,18,LOREAL,FIRST AID - TREATMENTS,16,463.84,Walgreens
CeraVe Itch Relief Moisturizing Lotion with Pramoxine Hydrochloride for Dry Skin,3.606E+12,,28.99,18,LOREAL,FIRST AID - TREATMENTS,16,463.84,Walgreens
CeraVe Itch Relief Moisturizing Cream with Pramoxine Hydrochloride for Dry Skin,3.606E+12,,28.99,18,LOREAL,FIRST AID - TREATMENTS,16,463.84,Walgreens
"CeraVe Hydrating Micellar Water, Ultra Gentle Facial Cleanser & Eye Makeup Remover",3.606E+12,,12.99,7.8,LOREAL,SKIN CARE - FACIAL,10,129.9,Walgreens
"CeraVe Skin Renewing Gel Oil Face Moisturizer, Fragrance Free",3.606E+12,,25.99,15.74,LOREAL,SKIN CARE - FACIAL,1,25.99,Walgreens
CeraVe Face and Body Moisturizing Cream for Normal to Dry Skin with Hyaluronic Acid Unscented,3.606E+12,,6.99,3.67,LOREAL,SKIN CARE - HAND & BODY,1.89,13.2111,Walgreens
"CeraVe Foaming Face Cleanser, Fragrance-Free Face Wash with Hyaluronic Acid",3.606E+12,,16.99,10.59,LOREAL,SKIN CARE - FACIAL,12,203.88,Walgreens
CeraVe Moisturizing Face and Body Lotion with Hyaluronic Acid for Normal to Dry Skin Unscented,3.606E+12,,15.99,10.34,LOREAL,SKIN CARE - HAND & BODY,12,191.88,Walgreens
CeraVe Moisturizing Face and Body Lotion with Hyaluronic Acid for Normal to Dry Skin Unscented,3.606E+12,,15.99,10.34,LOREAL,SKIN CARE - HAND & BODY,12,191.88,Walgreens
CeraVe Moisturizing Face and Body Lotion with Hyaluronic Acid for Normal to Dry Skin Unscented,3.606E+12,,15.99,10.34,LOREAL,SKIN CARE - HAND & BODY,12,191.88,Walgreens
CeraVe Moisturizing Face and Body Lotion with Hyaluronic Acid for Normal to Dry Skin Unscented,3.606E+12,,15.99,10.34,LOREAL,SKIN CARE - HAND & BODY,12,191.88,Walgreens
CeraVe Face and Body Moisturizing Cream for Normal to Dry Skin Unscented,3.606E+12,,16.99,10.34,LOREAL,SKIN CARE - HAND & BODY,12,203.88,Walgreens
CeraVe Face and Body Moisturizing Cream for Normal to Dry Skin Unscented,3.606E+12,,16.99,10.34,LOREAL,SKIN CARE - HAND & BODY,12,203.88,Walgreens
CeraVe Salicylic Acid Body Lotion for Rough and Bumpy Skin with Hyaluronic Acid Fragrance Free,3.606E+12,,19.99,12.33,LOREAL,SKIN CARE - FACIAL,8,159.92,Walgreens
CeraVe Salicylic Acid Body Lotion for Rough and Bumpy Skin with Hyaluronic Acid Fragrance Free,3.606E+12,,19.99,12.33,LOREAL,SKIN CARE - FACIAL,8,159.92,Walgreens
"CeraVe Fragrance-Free Face Cleanser, Foaming Face Wash with Hyaluronic Acid",3.606E+12,,18.99,11.53,LOREAL,SKIN CARE - FACIAL,16,303.84,Walgreens
CeraVe Hydrating Facial Cleanser,3.606E+12,,16.99,10.59,LOREAL,SKIN CARE - FACIAL,12,203.88,Walgreens
CeraVe Hydrating Cleansing Bar for Normal to Dry Skin,3.606E+12,,8.99,4.63,LOREAL,SOAP,4.5,40.455,Walgreens
CeraVe Hydrating Face Cleanser for Sensitive and Dry Skin,3.606E+12,,18.99,11.53,LOREAL,SKIN CARE - FACIAL,16,303.84,Walgreens
CeraVe Face and Body Moisturizing Cream for Normal to Dry Skin with Hyaluronic Acid Unscented,3.606E+12,,18.99,11.68,LOREAL,SKIN CARE - HAND & BODY,16,303.84,Walgreens
CeraVe Face and Body Moisturizing Cream for Normal to Dry Skin with Hyaluronic Acid Unscented,3.606E+12,,18.99,11.68,LOREAL,SKIN CARE - HAND & BODY,16,303.84,Walgreens
CeraVe Face and Body Moisturizing Cream for Normal to Dry Skin with Hyaluronic Acid Unscented,3.606E+12,,18.99,11.68,LOREAL,SKIN CARE - HAND & BODY,16,303.84,Walgreens
CeraVe Face and Body Moisturizing Cream for Normal to Dry Skin with Hyaluronic Acid Unscented,3.606E+12,,18.99,11.68,LOREAL,SKIN CARE - HAND & BODY,16,303.84,Walgreens
CeraVe Healing Ointment to Protect and Soothe Dry Skin,3.606E+12,,19.99,12,LOREAL,SKIN CARE - HAND & BODY,12,239.88,Walgreens
CeraVe Healing Ointment to Protect and Soothe Dry Skin,3.606E+12,,19.99,12,LOREAL,SKIN CARE - HAND & BODY,12,239.88,Walgreens
"CeraVe Under Eye Repair Cream for Dark Circles and Puffiness, Fragrance-Free",3.606E+12,,16.99,11.67,LOREAL,SKIN CARE - FACIAL,0.5,8.495,Walgreens
CeraVe Anti-Aging Skin Renewing Night Face Cream with Hyaluronic Acid,3.606E+12,,19.99,13.39,LOREAL,SKIN CARE - FACIAL,1.7,33.983,Walgreens
"CeraVe Renewing Salicylic Acid Body Cream for Rough and Bumpy Skin, Fragrance-Free",3.606E+12,,24.99,16.37,LOREAL,SKIN CARE - FACIAL,12,299.88,Walgreens
"CeraVe Renewing Salicylic Acid Body Cream for Rough and Bumpy Skin, Fragrance-Free",3.606E+12,,24.99,16.37,LOREAL,SKIN CARE - FACIAL,12,299.88,Walgreens
"CeraVe Renewing Salicylic Acid Body Cream for Rough and Bumpy Skin, Fragrance-Free",3.606E+12,,24.99,16.37,LOREAL,SKIN CARE - FACIAL,12,299.88,Walgreens
CeraVe Travel Size Hydrating Face Cleanser for Sensitive & Dry Skin,3.606E+12,,5.99,3.59,LOREAL,SKIN CARE - FACIAL,3,17.97,Walgreens
CeraVe Renewing SA Body Cleanser Fragrance Free Body Wash,3.606E+12,,14.99,10,LOREAL,SKIN CARE - FACIAL,8,119.92,Walgreens
CeraVe Hydrating Facial Cleanser,3.606E+12,,14.99,10,LOREAL,SKIN CARE - FACIAL,8,119.92,Walgreens
CeraVe Ultra-Light Face Lotion SPF 30 Moisturizer with Sunscreen,3.606E+12,,19.99,11.89,LOREAL,SKIN CARE - HAND & BODY,1.7,33.983,Walgreens
CeraVe Ultra-Light Face Lotion SPF 30 Moisturizer with Sunscreen,3.606E+12,,19.99,11.89,LOREAL,SKIN CARE - HAND & BODY,1.7,33.983,Walgreens
CeraVe Moisturizing Face and Body Lotion with Hyaluronic Acid for Normal to Dry Skin Unscented,3.606E+12,,8.29,4.05,LOREAL,SKIN CARE - HAND & BODY,3,24.87,Walgreens
"CeraVe Anti Aging Face Cream SPF 30, Skin Renewing Day Cream with Retinol",3.606E+12,,27.99,16.26,LOREAL,SKIN CARE - FACIAL,1.76,49.2624,Walgreens
CeraVe Healing Ointment,3.606E+12,,9.99,6.23,LOREAL,SKIN CARE - HAND & BODY,3,29.97,Walgreens
CeraVe Healing Ointment,3.606E+12,,9.99,6.23,LOREAL,SKIN CARE - HAND & BODY,3,29.97,Walgreens
"CeraVe AM Face Moisturizer SPF 30, Oil-Free with Sunscreen",3.606E+12,,18.99,11.89,LOREAL,SKIN CARE - FACIAL,3,56.97,Walgreens
CeraVe Night Face Lotion with Hyaluronic Acid Fragrance Free,3.606E+12,,18.99,11.89,LOREAL,SKIN CARE - FACIAL,3,56.97,Walgreens
CeraVe Face & Body Moisturizing Cream with Pump for Normal to Dry Skin Unscented,3.606E+12,,19.99,12.59,LOREAL,SKIN CARE - HAND & BODY,16,319.84,Walgreens
CeraVe Skin Renewing Retinol Face Cream Serum,3.606E+12,,24.99,15.66,LOREAL,SKIN CARE - FACIAL,1,24.99,Walgreens
CeraVe Skin Renewing Retinol Face Cream Serum,3.606E+12,,24.99,15.66,LOREAL,SKIN CARE - FACIAL,1,24.99,Walgreens
CeraVe Travel Size Foaming Face Cleanser for Normal to Oily Skin with Hyaluronic Acid,3.606E+12,,6.29,3.59,LOREAL,SKIN CARE - FACIAL,3,18.87,Walgreens
CeraVe Foaming Face Cleanser for Normal to Oily Skin with Hyaluronic Acid,3.606E+12,,14.99,10,LOREAL,SKIN CARE - FACIAL,8,119.92,Walgreens
CeraVe Moisturizing Face and Body Lotion with Hyaluronic Acid for Normal to Dry Skin Unscented,3.606E+12,,18.99,11.68,LOREAL,SKIN CARE - HAND & BODY,16,303.84,Walgreens
CeraVe Moisturizing Face and Body Lotion with Hyaluronic Acid for Normal to Dry Skin Unscented,3.606E+12,,18.99,11.68,LOREAL,SKIN CARE - HAND & BODY,16,303.84,Walgreens
CeraVe Face and Body Moisturizing Cream for Normal to Dry Skin with Hyaluronic Acid,3.606E+12,,14.99,8.98,LOREAL,SKIN CARE - HAND & BODY,8,119.92,Walgreens
CeraVe Face and Body Moisturizing Cream for Normal to Dry Skin with Hyaluronic Acid,3.606E+12,,14.99,8.98,LOREAL,SKIN CARE - HAND & BODY,8,119.92,Walgreens
CeraVe AM Face Moisturizer SPF 30 Oil-Free Cream with Sunscreen,3.606E+12,,15.99,9.07,LOREAL,SKIN CARE - FACIAL,2,31.98,Walgreens
"CeraVe Hydrating Hyaluronic Acid Face Serum for Dry Skin, Fragrance Free",3.606E+12,,24.99,13.71,LOREAL,SKIN CARE - FACIAL,1,24.99,Walgreens
La Roche - Posay Effaclar Adapalene Gel 0.1% Retinoid Acne Treatment,3.606E+12,,35.99,21.59,LA ROCHE-POS,SKIN CARE - ACNE,1.6,57.584,Walgreens
"La Roche-Posay Anthelios Melt-In Milk Oxybenzone Free Sunscreen for Body & Face, SPF 60",3.606E+12,19.49,25.99,15.59,LA ROCHE-POS,SUN CARE,3,77.97,Walgreens
"La Roche-Posay Anthelios Melt-In Milk Oxybenzone Free Sunscreen for Body & Face, SPF 60",3.606E+12,19.49,25.99,15.59,LA ROCHE-POS,SUN CARE,3,77.97,Walgreens
La Roche-Posay Body & Face Mineral Sunscreen Gentle Lotion SPF 50,3.606E+12,19.49,25.99,15.59,LA ROCHE-POS,SUN CARE,3,77.97,Walgreens
"CeraVe Vitamin C Face Serum, Skin Brightening Serum with Hyaluronic Acid",3.606E+12,,28.99,17.38,LOREAL,SKIN CARE - FACIAL,1,28.99,Walgreens
CeraVe Retinol Serum for Post-Acne Marks and Skin Texture,3.606E+12,,19.99,13.8,LOREAL,SKIN CARE - ACNE,1,19.99,Walgreens
La Roche-Posay Cicaplast Baume B5 Soothing Therapeutic Multi Purpose Cream for Dry Skin,3.606E+12,,15.99,9.59,LA ROCHE-POS,SKIN CARE - HAND & BODY,1.35,21.5865,Walgreens
"La Roche-Posay Anthelios Clear Skin Sunscreen for Face, Oil-Free, SPF 60",3.606E+12,14.99,19.99,11.99,LA ROCHE-POS,SUN CARE,1.7,33.983,Walgreens
"La Roche-Posay Anthelios Clear Skin Sunscreen for Face, Oil-Free, SPF 60",3.606E+12,14.99,19.99,11.99,LA ROCHE-POS,SUN CARE,1.7,33.983,Walgreens
L'Oreal Paris Elvive Color Vibrancy Purple Shampoo for Color Treated Hair,3.60052E+12,,5.99,3.17,LOREAL,HAIR CARE - SHAMPOO/CONDITIONER,6.7,40.133,Walgreens
L'Oreal Paris Elvive Color Vibrancy Purple Shampoo for Color Treated Hair,3.60052E+12,,5.99,3.17,LOREAL,HAIR CARE - SHAMPOO/CONDITIONER,6.7,40.133,Walgreens
BIODERMA Sensibio H2O Micellar Cleansing Water-Makeup Remover for Sensitive Skin,3.40158E+12,,12.99,5.85,NAT VIT CO,SKIN CARE - FACIAL,8.4,109.116,Walgreens
"BIODERMA Atoderm Cleansing Oil, For Dry to Atopic Skin",3.40153E+12,,29.99,13.77,INVACARE,SOAP,33.8,1013.662,Walgreens
BIODERMA Sensibio H2O Micellar Water Cleanser Makeup Remover for Sensitive Skin,3.4014E+12,,5.99,4.17,PHY FORMULA,COSMETICS - FACIAL,3.4,20.366,Walgreens
La Roche-Posay Lipikar AP+ Body & Face Wash,3.33788E+12,,17.99,10.19,LA ROCHE-POS,SKIN CARE - HAND & BODY,13.52,243.2248,Walgreens
Vichy Mineral 89 Hyaluronic Acid Face Serum,3.33788E+12,,19.99,11.97,BOEHR/INGELH,SKIN CARE - FACIAL,30,599.7,Walgreens
La Roche-Posay Lipikar Eczema Soothing Relief Cream with Shea Butter,3.33788E+12,,14.99,9.59,LA ROCHE-POS,SKIN CARE - HAND & BODY,6.76,101.3324,Walgreens
La Roche-Posay Lipikar Eczema Soothing Relief Cream with Shea Butter,3.33788E+12,,14.99,9.59,LA ROCHE-POS,SKIN CARE - HAND & BODY,6.76,101.3324,Walgreens
"La Roche-Posay Toleriane Purifying Foaming Face Cleanser for Normal, Oily and Sensitive Skin",3.33788E+12,,17.99,10.19,LA ROCHE-POS,SKIN CARE - FACIAL,13.52,243.2248,Walgreens
"Vichy Mineral 89 Hyaluronic Acid Face Serum, Moisturizer Hydrates and Strengthens Skin",3.33788E+12,,29.5,17.7,VICHY LABS,SKIN CARE - FACIAL,1.01,29.795,Walgreens
"La Roche-Posay Toleriane Dermallegro Night Cream for Face, Allergy Tested Soothing Moisturizer",3.33788E+12,,31.99,18.59,LA ROCHE-POS,SKIN CARE - FACIAL,1.35,43.1865,Walgreens
"La Roche-Posay Lipikar Triple Repair Lotion, Body and Face Moisturizer",3.33787E+12,,19.99,11.99,LA ROCHE-POS,SKIN CARE - HAND & BODY,13.52,270.2648,Walgreens
"La Roche-Posay Lipikar Triple Repair Lotion, Body and Face Moisturizer",3.33787E+12,,19.99,11.99,LA ROCHE-POS,SKIN CARE - HAND & BODY,13.52,270.2648,Walgreens
La Roche-Posay Dark Spot Corrector Face Serum,3.33787E+12,,44.99,26.99,LA ROCHE-POS,COSMETICS-FACIAL,1,44.99,Walgreens
La Roche-Posay Effaclar Mat Face Moisturizer for Oily Skin,3.33787E+12,,35.99,21.59,LA ROCHE-POS,SKIN CARE - FACIAL,1.35,48.5865,Walgreens
La Roche-Posay Micellar Water Ultra Face Cleanser and Makeup Remover,3.33787E+12,,18.99,10.79,LA ROCHE-POS,SKIN CARE - FACIAL,13.52,256.7448,Walgreens
"Maty's All Natural Acid & Indigestion Relief Gummies, Drug Free, 40 CT",8.99874E+11,,18.49,8.99,MATY'S PROD,DIGESTIVE - UPPER GI,40,739.6,CVS
Maty's Organic Children's Day-Night Cough Syrup Twin Pack,8.99874E+11,14.99,30.99,14.75,MATY'S PROD,UPPER RESPIRATORY - COLD/ALLERGY/SINUS LIQUIDS,6,185.94,Walgreens
"Maty's Organic Mucus Cough Syrup, Made with Organic Honey, Thyme & Ginger",8.99874E+11,,12.99,7.88,MATY'S PROD,UPPER RESPIRATORY - COLD/ALLERGY/SINUS LIQUIDS,6,77.94,Walgreens
"Maty's Organic Cough Syrup, Made with Organic Honey, Lemon & Cinnamon",8.99874E+11,,12.99,7.88,MATY'S PROD,UPPER RESPIRATORY - COLD/ALLERGY/SINUS LIQUIDS,6,77.94,Walgreens
Maty's All Natural Vapor Rub - Petroleum Free Unscented,8.99874E+11,,7.79,5,MATY'S PROD,UPPER RESPIRATORY - EXTERNAL,1.5,11.685,Walgreens
Luvena Therapeutic Feminine Wash,8.99655E+11,,9.99,5.79,LACLEDE LABS,FEMININE NEEDS - WOMEN'S CARE,6.76,67.5324,Walgreens
Luvena Vaginal Moisturizer and Lubricant,8.99655E+11,,25.99,15.25,LACLEDE LABS,SEXUAL WELLNESS,6,155.94,Walgreens
Luvena Vaginal Moisturizer and Lubricant,8.99655E+11,,25.99,15.25,LACLEDE LABS,SEXUAL WELLNESS,6,155.94,Walgreens
Luvena Vaginal Moisturizer and Lubricant,8.99655E+11,,25.99,15.25,LACLEDE LABS,SEXUAL WELLNESS,6,155.94,Walgreens
Amberen Multi-Symptom Perimenopause Supplements for Women,8.99234E+11,,35.99,21,BIOGIX INC,FEMININE NEEDS - WOMEN'S CARE,60,2159.4,Walgreens
Amberen Multi-Symptom Menopause Relief,8.99234E+11,,39.99,24,BIOGIX INC,FEMININE NEEDS - WOMEN'S CARE,60,2399.4,Walgreens
Zarbee's Daily Immune Support Gummies with Real Elderberry Berry,8.98115E+11,,23.99,12.32,ZARBEES INC,"VITAMINS, MINERALS & SUPPLEMENTS",60,1439.4,Walgreens
Zarbee's Kids Daily Immune Support Gummies with Elderberry Natural Berry,8.98115E+11,,12.49,7.3,ZARBEES INC,"VITAMINS, MINERALS & SUPPLEMENTS",21,262.29,Walgreens
"Zarbee's Naturals Children's Sleep with Melatonin Chewable Tablets, Grape, 30 CT",8.98115E+11,,10.99,5.27,ZARBEES INC,SLEEPING REMEDIES,30,329.7,CVS
"Zarbee's Children's Sleep with Melatonin Chewables - Grape Grape, Fragrance-Free",8.98115E+11,,10.99,5.27,ZARBEES INC,SLEEPING REMEDIES,30,329.7,Walgreens
"Zarbee's Children's Sleep with Melatonin Chewables - Grape Grape, Fragrance-Free",8.98115E+11,,10.99,5.27,ZARBEES INC,SLEEPING REMEDIES,30,329.7,Walgreens
"Zarbee's Children's Sleep with Melatonin Chewables - Grape Grape, Fragrance-Free",8.98115E+11,,10.99,5.27,ZARBEES INC,SLEEPING REMEDIES,30,329.7,Walgreens
Boogie Wipes Unscented Saline Wipes Simply Unscented,8.97752E+11,,4.99,2.45,NEHEMIAH,BABY DIAPERS,30,149.7,Walgreens
Boogie Wipes Unscented Saline Wipes Simply Unscented,8.97752E+11,,4.99,2.45,NEHEMIAH,BABY DIAPERS,30,149.7,Walgreens
"Boogie Wipes Saline Nose Wipes, 30 CT",8.97752E+11,,4.99,2.45,NEHEMIAH,BABY DIAPERS,30,149.7,CVS
Boogie Wipes Fresh Saline Wipes Fresh Scent,8.97752E+11,,4.99,2.45,NEHEMIAH,BABY DIAPERS,30,149.7,Walgreens
Boogie Wipes Fresh Saline Wipes Fresh Scent,8.97752E+11,,4.99,2.45,NEHEMIAH,BABY DIAPERS,30,149.7,Walgreens
Stander Safety Bed Rail,8.97564E+11,,129.99,67,STANDER,HOME HEALTH CARE,1,129.99,CVS
Stander EZ Adjust Bed Rail,8.97564E+11,,164.99,85,STANDER,HOME HEALTH CARE,1,164.99,CVS
Stander Bed Cane with Organizer Pouch,8.97564E+11,,119.99,61,STANDER,HOME HEALTH CARE,1,119.99,CVS
Extenze Original Formula Male Sexual Enhancement Tablets,8.97343E+11,,29.99,15.18,GPM - BIOTAB,SEXUAL WELLNESS,15,449.85,Walgreens
"Extenze Plus Trial Size Male Enhancement Pills, 5CT",8.97343E+11,,5.99,3,GPM - BIOTAB,SEXUAL WELLNESS,5,29.95,CVS
Extenze The Original Male Enhancement Tablets,8.97343E+11,,43.99,26.4,GPM - BIOTAB,SEXUAL WELLNESS,30,1319.7,Walgreens
Zarbee's Baby Soothing Cough Syrup Natural Peach & Honey,8.97234E+11,,10.99,5.96,ZARBEES INC,UPPER RESPIRATORY - COLD/ALLERGY/SINUS LIQUIDS,2,21.98,Walgreens
Zarbee's Baby Soothing Cough Syrup Natural Peach & Honey,8.97234E+11,,10.99,5.96,ZARBEES INC,UPPER RESPIRATORY - COLD/ALLERGY/SINUS LIQUIDS,2,21.98,Walgreens
Zarbee's Baby Cough + Immune Syrup with Agave Natural Grape,8.97234E+11,,11.99,6.32,ZARBEES INC,UPPER RESPIRATORY - COLD/ALLERGY/SINUS LIQUIDS,2,23.98,Walgreens
Zarbee's Baby Cough + Immune Syrup with Agave Natural Grape,8.97234E+11,,11.99,6.32,ZARBEES INC,UPPER RESPIRATORY - COLD/ALLERGY/SINUS LIQUIDS,2,23.98,Walgreens
Zarbee's Baby Cough + Immune Syrup with Agave Natural Grape,8.97234E+11,,11.99,6.32,ZARBEES INC,UPPER RESPIRATORY - COLD/ALLERGY/SINUS LIQUIDS,2,23.98,Walgreens
"Zarbee's Naturals Baby Cough Syrup + Immune with Honey, Natural Cherry Flavor, 2 Fl Oz",8.97234E+11,,10.29,6.32,ZARBEES INC,UPPER RESPIRATORY - COLD/ALLERGY/SINUS LIQUIDS,2,20.58,CVS
"Zarbee's Baby Cough Syrup + Immune with Honey, Natural Cherry Natural Cherry",8.97234E+11,,14.49,6.32,ZARBEES INC,UPPER RESPIRATORY - COLD/ALLERGY/SINUS LIQUIDS,2,28.98,Walgreens
"Zarbee's Baby Cough Syrup + Immune with Honey, Natural Cherry Natural Cherry",8.97234E+11,,14.49,6.32,ZARBEES INC,UPPER RESPIRATORY - COLD/ALLERGY/SINUS LIQUIDS,2,28.98,Walgreens
"Zarbee's baby Cough Syrup + Immune Support Relief Liquid, Grape, 2 OZ",8.97234E+11,,10.29,6.32,ZARBEES INC,UPPER RESPIRATORY - COLD/ALLERGY/SINUS LIQUIDS,2,20.58,CVS
Zarbee's Cough Syrup + Immune with Honey Grape,8.97234E+11,,11.99,6.32,ZARBEES INC,UPPER RESPIRATORY - COLD/ALLERGY/SINUS LIQUIDS,2,23.98,Walgreens
"Sambucol Black Elderberry Advanced Immune Capsules, 30 CT",8.96116E+11,,19.49,9.5,PHARMACARE,UPPER RESPIRATORY - COLD/ALLERGY/SINUS TABLETS,30,584.7,CVS
Sambucol Black Elderberry Immune Support Infant Drops with Vitamin C,8.96116E+11,8.99,17.99,8.24,PHARMACARE,UPPER RESPIRATORY - COLD/ALLERGY/SINUS LIQUIDS,0.68,12.2332,Walgreens
Sambucol Black Elderberry Immune Support Infant Drops with Vitamin C,8.96116E+11,8.99,17.99,8.24,PHARMACARE,UPPER RESPIRATORY - COLD/ALLERGY/SINUS LIQUIDS,0.68,12.2332,Walgreens
"Sambucol Black Elderberry Kids Gummies, 30 CT",8.96116E+11,,14.79,8.24,PHARMACARE,UPPER RESPIRATORY - COLD/ALLERGY/SINUS TABLETS,30,443.7,CVS
Sambucol Black Elderberry Kids Immune Support Gummies with Vitamin C and Zinc,8.96116E+11,8.99,17.99,8.24,PHARMACARE,UPPER RESPIRATORY - COLD/ALLERGY/SINUS TABLETS,30,539.7,Walgreens
Sambucol Black Elderberry Kids Immune Support Gummies with Vitamin C and Zinc,8.96116E+11,8.99,17.99,8.24,PHARMACARE,UPPER RESPIRATORY - COLD/ALLERGY/SINUS TABLETS,30,539.7,Walgreens
Sambucol Black Elderberry Homeopathic Cold & Flu Relief Elderberry,8.96116E+11,,15.99,8.24,PHARMACARE,UPPER RESPIRATORY - COLD/ALLERGY/SINUS TABLETS,30,479.7,Walgreens
Sambucol Black Elderberry Homeopathic Cold & Flu Relief Tablets,8.96116E+11,,31.99,16.08,PHARMACARE,UPPER RESPIRATORY - COLD/ALLERGY/SINUS TABLETS,60,1919.4,Walgreens
"Sambucol Black Elderberry Effervescent Tablets, 15 CT",8.96116E+11,,12.99,6,PHARMACARE,UPPER RESPIRATORY - COLD/ALLERGY/SINUS LIQUIDS,15,194.85,CVS
Sambucol Black Elderberry Advanced Immune Support Syrup with Vitamin C and Zinc,8.96116E+11,,17.99,8.99,PHARMACARE,UPPER RESPIRATORY - COLD/ALLERGY/SINUS LIQUIDS,4,71.96,Walgreens
